index,timestamp,participant,target_type,target_id,target_name,render_index,description,presentation_number,target_presentations,description_review_status,description_flag_type,description_review_note
1,2026-08-31 20:09:01,Sandeep,individual_part,Row1_GearStand_Left.stl,STAND_ROW1_LEFT,1,Left white stand,1,1,ok,,
2,2026-08-31 20:09:17,Sandeep,individual_part,Row1_GearStand_Right.stl,STAND_ROW1_RIGHT,2,Right white stand,1,1,ok,,
3,2026-08-31 20:09:25,Sandeep,individual_part,Row2_GearStand_Left.stl,STAND_ROW2_LEFT,3,Left red stand,1,1,ok,,
4,2026-08-31 20:09:35,Sandeep,individual_part,Row2_GearStand_Right.stl,STAND_ROW2_RIGHT,4,Right red stand,1,1,ok,,
5,2026-08-31 20:09:51,Sandeep,individual_part,Row3_GearStand_Left.stl,STAND_ROW3_LEFT,5,Green left stand,1,1,ok,,
6,2026-08-31 20:10:01,Sandeep,individual_part,Row3_GearStand_Right.stl,STAND_ROW3_RIGHT,6,Green right stand,1,1,ok,,
7,2026-08-31 20:10:10,Sandeep,individual_part,Row4_GearStand_Left.stl,STAND_ROW4_LEFT,7,Blue left stand,1,1,ok,,
8,2026-08-31 20:10:21,Sandeep,individual_part,Row4_GearStand_Right.stl,STAND_ROW4_RIGHT,8,Blue right stand,1,1,ok,,
9,2026-08-31 20:10:48,Sandeep,individual_part,Row1_GearRod.stl,GEAR_ROD_ROW1,9,White gear shaft,1,1,ok,,
10,2026-08-31 20:10:59,Sandeep,individual_part,Row2_GearRod.stl,GEAR_ROD_ROW2,10,Red gear shaft,1,1,ok,,
11,2026-08-31 20:11:07,Sandeep,individual_part,Row3_GearRod.stl,GEAR_ROD_ROW3,11,Green gear shaft,1,1,ok,,
12,2026-08-31 20:11:18,Sandeep,individual_part,Row4_GearRod.stl,GEAR_ROD_ROW4,12,Blue gear shaft,1,1,ok,,
13,2026-08-31 20:11:31,Sandeep,individual_part,Row1_Gear_Left.stl,GEAR_ROW1_LEFT,13,Large white gear,1,1,ok,,
