timestamp,participant_id,condition,event_type,modality,step_id,step_title,step_state,step_attempt,step_event_index,tool_id,tool_name,part_elapsed_s,step_elapsed_s,head_translation_m,head_rotation_deg,correct,transcript,vlm_prediction,vlm_raw,graph_decision,spoken_response,state_json
2026-09-01T15:05:14.991-04:00,mahya,task_aware,step_started,keyboard,r2_bearing_right,Row 2.1: bearing into right stand,ready,1,1,,,,,,,,,,,,,"{""acquired_tool_ids"": [], ""acquisition_complete"": false, ""completed_steps"": [], ""head_rotation_deg"": null, ""head_translation_m"": null, ""removed_tool_ids"": [], ""selected_step"": ""r2_bearing_right"", ""step_attempt"": 1, ""step_elapsed_s"": 7.76610104367137e-05, ""step_event_index"": 1, ""trial_finished_elapsed_s"": null, ""trial_recording"": true, ""trial_required_tool_ids"": [21, 34]}"
2026-09-01T15:05:27.259-04:00,mahya,task_aware,vlm_interaction,language,r2_bearing_right,Row 2.1: bearing into right stand,ready,1,2,,,,,,,,What parts do I need?,AMBIGUOUS,"{
  ""intent"": ""part_reference"",
  ""part_action"": ""reference"",
  ""reference_relation"": ""direct"",
  ""step_scope"": ""selected_step"",
  ""target"": ""AMBIGUOUS"",
  ""candidates"": [
    ""BEARING_ROW2_RIGHT"",
    ""STAND_ROW2_RIGHT"",
    ""ROW2_KIT""
  ],
  ""exclude_labels"": []
}",selected_step_needs_highlight,I identified and highlighted the parts.,"{""acquired_tool_ids"": [], ""acquisition_complete"": false, ""completed_steps"": [], ""head_rotation_deg"": null, ""head_translation_m"": null, ""removed_tool_ids"": [], ""selected_step"": ""r2_bearing_right"", ""step_attempt"": 1, ""step_elapsed_s"": 12.267388630018104, ""step_event_index"": 2, ""trial_finished_elapsed_s"": null, ""trial_recording"": true, ""trial_required_tool_ids"": [21, 34]}"
2026-09-01T15:05:36.414-04:00,mahya,task_aware,vlm_interaction,language,r2_bearing_right,Row 2.1: bearing into right stand,ready,1,3,,,,,,,,Which parts do I need for this step?,AMBIGUOUS,"{
  ""intent"": ""part_reference"",
  ""part_action"": ""reference"",
  ""reference_relation"": ""direct"",
  ""step_scope"": ""selected_step"",
  ""target"": ""AMBIGUOUS"",
  ""candidates"": [
    ""BEARING_ROW2_RIGHT"",
    ""STAND_ROW2_RIGHT"",
    ""ROW2_KIT""
  ],
  ""exclude_labels"": []
}",selected_step_needs_highlight,I identified and highlighted the parts.,"{""acquired_tool_ids"": [], ""acquisition_complete"": false, ""completed_steps"": [], ""head_rotation_deg"": null, ""head_translation_m"": null, ""removed_tool_ids"": [], ""selected_step"": ""r2_bearing_right"", ""step_attempt"": 1, ""step_elapsed_s"": 21.422358710027765, ""step_event_index"": 3, ""trial_finished_elapsed_s"": null, ""trial_recording"": true, ""trial_required_tool_ids"": [21, 34]}"
2026-09-01T15:05:40.198-04:00,mahya,task_aware,vlm_interaction,language,r2_bearing_right,Row 2.1: bearing into right stand,ready,1,4,,,,,,,,Can you give me one of them?,ROW2_KIT,"{""intent"":""part_reference"",""part_action"":""fetch"",""reference_relation"":""member_of_recent_set"",""step_scope"":"""",""target"":""AMBIGUOUS"",""candidates"":[],""exclude_labels"":[]}",selected_step_physical_cycle,I identified and highlighted the Row 2 kit.,"{""acquired_tool_ids"": [], ""acquisition_complete"": false, ""completed_steps"": [], ""head_rotation_deg"": null, ""head_translation_m"": null, ""removed_tool_ids"": [], ""selected_step"": ""r2_bearing_right"", ""step_attempt"": 1, ""step_elapsed_s"": 25.207030886027496, ""step_event_index"": 4, ""trial_finished_elapsed_s"": null, ""trial_recording"": true, ""trial_required_tool_ids"": [21, 34]}"
2026-09-01T15:05:40.221-04:00,mahya,task_aware,part_selection,language,r2_bearing_right,Row 2.1: bearing into right stand,ready,1,5,34,ROW2_KIT,25.230050,25.230050,,,1,,,,,,"{""acquired_tool_ids"": [34], ""acquisition_complete"": false, ""completed_steps"": [], ""head_rotation_deg"": null, ""head_translation_m"": null, ""removed_tool_ids"": [], ""selected_step"": ""r2_bearing_right"", ""step_attempt"": 1, ""step_elapsed_s"": 25.230100599990692, ""step_event_index"": 5, ""trial_finished_elapsed_s"": null, ""trial_recording"": true, ""trial_required_tool_ids"": [21, 34]}"
2026-09-01T15:05:40.245-04:00,mahya,task_aware,object_acquired,language,r2_bearing_right,Row 2.1: bearing into right stand,ready,1,6,34,ROW2_KIT,25.230050,25.230050,,,1,,,,,,"{""acquired_tool_ids"": [34], ""acquisition_complete"": false, ""completed_steps"": [], ""head_rotation_deg"": null, ""head_translation_m"": null, ""removed_tool_ids"": [], ""selected_step"": ""r2_bearing_right"", ""step_attempt"": 1, ""step_elapsed_s"": 25.25402476399904, ""step_event_index"": 6, ""trial_finished_elapsed_s"": null, ""trial_recording"": true, ""trial_required_tool_ids"": [21, 34]}"
2026-09-01T15:05:49.035-04:00,mahya,task_aware,vlm_interaction,language,r2_bearing_right,Row 2.1: bearing into right stand,ready,1,7,,,,,,,,Can you give me the other one?,GEAR_STAND_ROW2_RIGHT,"{""intent"":""step_items_request"",""item_scope"":""parts"",""part_action"":""fetch"",""reference_relation"":""alternative_to_previous"",""step_scope"":""selected_step"",""target"":"""",""candidates"":[],""exclude_labels"":[]}",selected_step_physical_cycle,I identified and highlighted the Row 2 right stand.,"{""acquired_tool_ids"": [34], ""acquisition_complete"": false, ""completed_steps"": [], ""head_rotation_deg"": null, ""head_translation_m"": null, ""removed_tool_ids"": [], ""selected_step"": ""r2_bearing_right"", ""step_attempt"": 1, ""step_elapsed_s"": 34.04371800000081, ""step_event_index"": 7, ""trial_finished_elapsed_s"": null, ""trial_recording"": true, ""trial_required_tool_ids"": [21, 34]}"
2026-09-01T15:05:49.066-04:00,mahya,task_aware,part_selection,language,r2_bearing_right,Row 2.1: bearing into right stand,ready,1,8,21,GEAR_STAND_ROW2_RIGHT,8.844174,34.074224,,,1,,,,,,"{""acquired_tool_ids"": [21, 34], ""acquisition_complete"": false, ""completed_steps"": [], ""head_rotation_deg"": null, ""head_translation_m"": null, ""removed_tool_ids"": [], ""selected_step"": ""r2_bearing_right"", ""step_attempt"": 1, ""step_elapsed_s"": 34.07427165098488, ""step_event_index"": 8, ""trial_finished_elapsed_s"": null, ""trial_recording"": true, ""trial_required_tool_ids"": [21, 34]}"
2026-09-01T15:05:49.096-04:00,mahya,task_aware,object_acquired,language,r2_bearing_right,Row 2.1: bearing into right stand,ready,1,9,21,GEAR_STAND_ROW2_RIGHT,8.844174,34.074224,,,1,,,,,,"{""acquired_tool_ids"": [21, 34], ""acquisition_complete"": false, ""completed_steps"": [], ""head_rotation_deg"": null, ""head_translation_m"": null, ""removed_tool_ids"": [], ""selected_step"": ""r2_bearing_right"", ""step_attempt"": 1, ""step_elapsed_s"": 34.10456666699611, ""step_event_index"": 9, ""trial_finished_elapsed_s"": null, ""trial_recording"": true, ""trial_required_tool_ids"": [21, 34]}"
2026-09-01T15:05:49.117-04:00,mahya,task_aware,step_acquisition_complete,language,r2_bearing_right,Row 2.1: bearing into right stand,ready,1,10,,,,34.121884,0.986495,202.308695,,,,,,,"{""acquired_tool_ids"": [21, 34], ""acquisition_complete"": true, ""completed_steps"": [], ""head_rotation_deg"": 202.30869530889092, ""head_translation_m"": 0.9864947379890542, ""removed_tool_ids"": [21, 34], ""selected_step"": ""r2_bearing_right"", ""step_attempt"": 1, ""step_elapsed_s"": 34.12188366800547, ""step_event_index"": 10, ""trial_finished_elapsed_s"": 34.12188366800547, ""trial_recording"": false, ""trial_required_tool_ids"": [21, 34]}"
