event_index,timestamp,transcript,vlm_prediction,vlm_raw,selected_step,selected_step_state,graph_decision,matched_parts,current_assemblies,highlight_ids,assembly_highlight_parts,spoken_response
1,2026-08-28T16:13:10-04:00,Can you get me a gearstand,AMBIGUOUS,"{""intent"":""part_reference"",""part_action"":""fetch"",""reference_relation"":""alternative_to_previous"",""confirmation"":"""",""step_scope"":"""",""target"":""AMBIGUOUS"",""candidates"":[""STAND_ROW1_RIGHT"",""STAND_ROW2_RIGHT"",""STAND_ROW3_RIGHT"",""STAND_ROW4_RIGHT"",""STAND_ROW1_LEFT"",""STAND_ROW2_LEFT"",""STAND_ROW3_LEFT"",""STAND_ROW4_LEFT""],""exclude_labels"":[],""answer"":""""}",r1_bearing_right,ready,ambiguous,"[""BEARING_ROW1_RIGHT"", ""STAND_ROW1_RIGHT""]",[],[],[],Which one do you mean: Row 1 right bearing or Row 1 right stand?
2,2026-08-28T16:13:24-04:00,Row1 right stand,STAND_ROW1_RIGHT,"{""intent"":""part_reference"",""part_action"":""reference"",""reference_relation"":""direct"",""confirmation"":"""",""step_scope"":"""",""target"":""STAND_ROW1_RIGHT"",""candidates"":[],""exclude_labels"":[],""answer"":""""}",r1_bearing_right,ready,fetch_confirmation_pending,"[""STAND_ROW1_RIGHT""]",[],[19],"[""STAND_ROW1_RIGHT""]",I highlighted the Row 1 right stand. Do you want me to get it?
3,2026-08-28T16:14:01-04:00,can you get the other part?,STEP_PARTS,"{""intent"":""step_parts_request"",""part_action"":""fetch"",""reference_relation"":""alternative_to_previous"",""confirmation"":"""",""step_scope"":""selected_step"",""target"":"""",""candidates"":[],""exclude_labels"":[],""answer"":""""}",r1_bearing_right,ready,fetch_confirmation_pending,"[""BEARING_ROW1_RIGHT""]",[],[35],"[""BEARING_ROW1_RIGHT""]",I highlighted the Row 1 right bearing. Do you want me to get it?
4,2026-08-28T16:15:48-04:00,can you get me the tool,STEP_TOOLS,"{""intent"":""step_tools_request"",""part_action"":""reference"",""confirmation"":"""",""step_scope"":""selected_step"",""target"":"""",""candidates"":[],""exclude_labels"":[],""answer"":""""}",r1_fasten_first_stand,ready,step_tools_outstanding,"[""BIT_SCREWDRIVER"", ""H5_HEX_BIT""]",[],"[7, 36]",[],"This step requires the interchangeable-bit screwdriver and 5 millimetre hex bit, marked H5. They have not been delivered yet, so I have highlighted them."
5,2026-08-28T16:16:06-04:00,"can you get one of them,",AMBIGUOUS,"{""intent"":""part_reference"",""part_action"":""fetch"",""reference_relation"":""member_of_recent_set"",""confirmation"":"""",""step_scope"":"""",""target"":""AMBIGUOUS"",""candidates"":[""BIT_SCREWDRIVER"",""H5_HEX_BIT""],""exclude_labels"":[],""answer"":""""}",r1_fasten_first_stand,ready,ambiguous,[],[],[],[],"Which object do you mean? Please add its row, side, color, size, or position."
6,2026-08-28T16:16:16-04:00,screwdriver,BIT_SCREWDRIVER,"{""intent"":""part_reference"",""part_action"":""fetch"",""reference_relation"":""same_as_previous"",""confirmation"":"""",""step_scope"":"""",""target"":""BIT_SCREWDRIVER"",""candidates"":[],""exclude_labels"":[],""answer"":""""}",r1_fasten_first_stand,ready,fetch_confirmation_pending,"[""BIT_SCREWDRIVER""]",[],[7],[],I highlighted the interchangeable-bit screwdriver. Do you want me to get it?
7,2026-08-28T16:16:48-04:00,can you get me the other part,STEP_PARTS,"{""intent"":""step_parts_request"",""part_action"":""fetch"",""reference_relation"":""alternative_to_previous"",""confirmation"":"""",""step_scope"":""selected_step"",""target"":"""",""candidates"":[],""exclude_labels"":[],""answer"":""""}",r1_fasten_first_stand,ready,step_parts_already_in_work_area,"[""BEARING_STAND_ROW1_RIGHT_ASSEMBLY""]","[""BEARING_STAND_ROW1_RIGHT_ASSEMBLY""]",[],"[""BEARING_ROW1_RIGHT"", ""STAND_ROW1_RIGHT""]",The row 1 right screw has already been supplied. The row 1 right stand with its bearing is already assembled and in the work area. There is no separate pegboard part for the robot to fetch.
8,2026-08-28T16:17:05-04:00,can you get me the other tool?,STEP_TOOLS,"{""intent"":""step_tools_request"",""part_action"":""reference"",""step_scope"":""selected_step"",""target"":"""",""candidates"":[],""exclude_labels"":[],""answer"":""""}",r1_fasten_first_stand,ready,step_tools_outstanding,"[""BIT_SCREWDRIVER"", ""H5_HEX_BIT""]",[],[36],[],"You should already have the interchangeable-bit screwdriver. You still need the 5 millimetre hex bit, marked H5. I have highlighted it."
9,2026-08-28T16:17:21-04:00,can you get it?,H5_HEX_BIT,"{""intent"":""part_reference"",""part_action"":""fetch"",""reference_relation"":""same_as_previous"",""confirmation"":"""",""step_scope"":"""",""target"":""H5_HEX_BIT"",""candidates"":[],""exclude_labels"":[],""answer"":""""}",r1_fasten_first_stand,ready,fetch_pose_unavailable,"[""H5_HEX_BIT""]",[],[36],[],"I highlighted the 5 millimetre hex bit, marked H5, but it has no recorded robot grasp pose, so I cannot fetch it automatically."
10,2026-08-28T16:18:30-04:00,can you get me the gear rod,GEAR_ROD_ROW1,"{""intent"":""part_reference"",""part_action"":""fetch"",""reference_relation"":""same_as_previous"",""confirmation"":"""",""step_scope"":"""",""target"":""GEAR_ROD_ROW1"",""candidates"":[],""exclude_labels"":[],""answer"":""""}",r1_gear_rod,ready,fetch_confirmation_pending,"[""GEAR_ROD_ROW1""]",[],[14],"[""GEAR_ROD_ROW1""]",I highlighted the Row 1 gear rod. Do you want me to get it?
11,2026-08-28T17:54:53-04:00,Can I get the bearing?,BEARING,"{""intent"":""part_reference"",""part_action"":""fetch"",""reference_relation"":""same_as_previous"",""confirmation"":"""",""step_scope"":"""",""target"":""BEARING"",""candidates"":[],""exclude_labels"":[],""answer"":""""}",r1_bearing_right,ready,fetch_confirmation_pending,"[""BEARING_ROW1_RIGHT""]",[],[35],"[""BEARING_ROW1_RIGHT""]",I highlighted the bearing. Do you want me to get it?
12,2026-08-28T17:57:46-04:00,Can I get the bear ring?,BEARING,"{""intent"":""part_reference"",""part_action"":""fetch"",""reference_relation"":""same_as_previous"",""confirmation"":"""",""step_scope"":"""",""target"":""BEARING"",""candidates"":[],""exclude_labels"":[],""answer"":""""}",r1_bearing_right,ready,fetch_confirmation_pending,"[""BEARING_ROW1_RIGHT""]",[],[35],"[""BEARING_ROW1_RIGHT""]",I highlighted the bearing. Do you want me to get it?
13,2026-08-28T18:02:57-04:00,Can I get the bearing?,BEARING,"{""intent"":""part_reference"",""part_action"":""fetch"",""reference_relation"":""same_as_previous"",""confirmation"":"""",""step_scope"":"""",""target"":""BEARING"",""candidates"":[],""exclude_labels"":[],""answer"":""""}",r1_bearing_right,ready,fetch_confirmation_pending,"[""BEARING_ROW1_RIGHT""]",[],[35],"[""BEARING_ROW1_RIGHT""]",I highlighted the bearing. Do you want me to get it?
14,2026-08-28T18:04:27-04:00,Can I get the gear?,GEAR_ROW1_LEFT,"{""intent"":""part_reference"",""part_action"":""fetch"",""reference_relation"":""same_as_previous"",""confirmation"":"""",""step_scope"":"""",""target"":""GEAR_ROW1_LEFT"",""candidates"":[],""exclude_labels"":[],""answer"":""""}",r1_gear_rod,ready,fetch_confirmation_pending,"[""GEAR_ROW1_LEFT""]",[],[26],"[""GEAR_ROW1_LEFT""]",I highlighted the Row 1 left gear. Do you want me to get it?
15,2026-08-28T18:06:00-04:00,Can you give me the stand?,STAND_ROW1_LEFT,"{""intent"":""part_reference"",""part_action"":""fetch"",""reference_relation"":""same_as_previous"",""confirmation"":"""",""step_scope"":"""",""target"":""STAND_ROW1_LEFT"",""candidates"":[],""exclude_labels"":[],""answer"":""""}",r1_bearing_left,ready,fetch_confirmation_pending,"[""STAND_ROW1_LEFT""]",[],[18],"[""STAND_ROW1_LEFT""]",I highlighted the Row 1 left stand. Do you want me to get it?
16,2026-08-28T18:25:15-04:00,Can I get the bear ring?,BEARING,"{""intent"":""part_reference"",""part_action"":""fetch"",""reference_relation"":""same_as_previous"",""confirmation"":"""",""step_scope"":"""",""target"":""BEARING"",""candidates"":[],""exclude_labels"":[],""answer"":""""}",r1_bearing_right,ready,fetch_confirmation_pending,"[""BEARING_ROW1_RIGHT""]",[],[35],"[""BEARING_ROW1_RIGHT""]",I highlighted the bearing. Do you want me to get it?
17,2026-08-28T18:26:42-04:00,Can I get the gear?,GEAR_ROW1_LEFT,"{""intent"":""part_reference"",""part_action"":""fetch"",""reference_relation"":""same_as_previous"",""confirmation"":"""",""step_scope"":"""",""target"":""GEAR_ROW1_LEFT"",""candidates"":[],""exclude_labels"":[],""answer"":""""}",r1_gear_rod,ready,fetch_confirmation_pending,"[""GEAR_ROW1_LEFT""]",[],[26],"[""GEAR_ROW1_LEFT""]",I highlighted the Row 1 left gear. Do you want me to get it?
18,2026-08-28T18:28:09-04:00,Can I get the gear stand?,STAND_ROW1_LEFT,"{""intent"":""part_reference"",""part_action"":""fetch"",""reference_relation"":""same_as_previous"",""confirmation"":"""",""step_scope"":"""",""target"":""STAND_ROW1_LEFT"",""candidates"":[],""exclude_labels"":[],""answer"":""""}",r1_bearing_left,ready,fetch_confirmation_pending,"[""STAND_ROW1_LEFT""]",[],[18],"[""STAND_ROW1_LEFT""]",I highlighted the Row 1 left stand. Do you want me to get it?
19,2026-08-28T19:49:06-04:00,Can you get me the gear stand?,STAND_ROW1_RIGHT,"{""intent"":""part_reference"",""part_action"":""fetch"",""reference_relation"":""same_as_previous"",""confirmation"":"""",""step_scope"":"""",""target"":""STAND_ROW1_RIGHT"",""candidates"":[],""exclude_labels"":[],""answer"":""""}",r1_bearing_right,ready,fetch_confirmation_pending,"[""STAND_ROW1_RIGHT""]",[],[19],"[""STAND_ROW1_RIGHT""]",I highlighted the Row 1 right stand. Do you want me to get it?
20,2026-08-28T19:52:20-04:00,Can you give me the bearing?,BEARING,"{""intent"":""part_reference"",""part_action"":""fetch"",""reference_relation"":""same_as_previous"",""confirmation"":"""",""step_scope"":"""",""target"":""BEARING"",""candidates"":[],""exclude_labels"":[],""answer"":""""}",r1_bearing_right,ready,fetch_confirmation_pending,"[""BEARING_ROW1_RIGHT""]",[],[35],"[""BEARING_ROW1_RIGHT""]",I highlighted the bearing. Do you want me to get it?
21,2026-08-28T19:52:59-04:00,Can you give me the gear stand?,BEARING_STAND_ROW1_RIGHT_ASSEMBLY,"{""intent"":""part_reference"",""part_action"":""fetch"",""reference_relation"":""same_as_previous"",""confirmation"":"""",""step_scope"":"""",""target"":""BEARING_STAND_ROW1_RIGHT_ASSEMBLY"",""candidates"":[],""exclude_labels"":[],""answer"":""""}",r1_bearing_right,ready,subassembly_not_created_ready,"[""BEARING_STAND_ROW1_RIGHT_ASSEMBLY""]",[],[],[],The row 1 right stand with its bearing has not been assembled yet. You can make it now: put the bearing into the right stand.
22,2026-08-28T19:55:40-04:00,Can you get me the bearing?,BEARING,"{""intent"":""part_reference"",""part_action"":""fetch"",""reference_relation"":""same_as_previous"",""confirmation"":"""",""step_scope"":"""",""target"":""BEARING"",""candidates"":[],""exclude_labels"":[],""answer"":""""}",r1_bearing_right,ready,fetch_confirmation_pending,"[""BEARING_ROW1_RIGHT""]",[],[35],"[""BEARING_ROW1_RIGHT""]",I highlighted the bearing. Do you want me to get it?
