index,description,object_category,candidate_ids,candidate_count,known_traits,missing_traits,expected_response,Verified
1,Row 1 gear stand,gear_stand,STAND_ROW1_LEFT|STAND_ROW1_RIGHT,2,row,side,Do you mean the left or right gear stand?,
2,white gear stand,gear_stand,STAND_ROW1_LEFT|STAND_ROW1_RIGHT,2,color,side,Do you mean the left or right white gear stand?,
3,circle-row bracket,gear_stand,STAND_ROW1_LEFT|STAND_ROW1_RIGHT,2,row_marker,side,Do you mean the left or right bracket?,
4,Row 2 gear stand,gear_stand,STAND_ROW2_LEFT|STAND_ROW2_RIGHT,2,row,side,Do you mean the left or right gear stand?,
5,red gear stand,gear_stand,STAND_ROW2_LEFT|STAND_ROW2_RIGHT,2,color,side,Do you mean the left or right red gear stand?,
6,triangle-row bracket,gear_stand,STAND_ROW2_LEFT|STAND_ROW2_RIGHT,2,row_marker,side,Do you mean the left or right bracket?,
7,Row 3 gear stand,gear_stand,STAND_ROW3_LEFT|STAND_ROW3_RIGHT,2,row,side,Do you mean the left or right gear stand?,
8,green gear stand,gear_stand,STAND_ROW3_LEFT|STAND_ROW3_RIGHT,2,color,side,Do you mean the left or right green gear stand?,
9,hexagon-row bracket,gear_stand,STAND_ROW3_LEFT|STAND_ROW3_RIGHT,2,row_marker,side,Do you mean the left or right bracket?,
10,Row 4 gear stand,gear_stand,STAND_ROW4_LEFT|STAND_ROW4_RIGHT,2,row,side,Do you mean the left or right gear stand?,
11,blue gear stand,gear_stand,STAND_ROW4_LEFT|STAND_ROW4_RIGHT,2,color,side,Do you mean the left or right blue gear stand?,
12,square-row bracket,gear_stand,STAND_ROW4_LEFT|STAND_ROW4_RIGHT,2,row_marker,side,Do you mean the left or right bracket?,
13,gear of Row 2,gear,GEAR_ROW2_LEFT|GEAR_ROW2_RIGHT,2,row,side_or_size,Do you mean the smaller left gear or the larger right gear?,
14,red gear,gear,GEAR_ROW2_LEFT|GEAR_ROW2_RIGHT,2,color,side_or_size,Do you mean the smaller or larger red gear?,
15,gear in the triangle row,gear,GEAR_ROW2_LEFT|GEAR_ROW2_RIGHT,2,row_marker,side_or_size,Do you mean the smaller left gear or the larger right gear?,
