index,description,object_category,reference_intent,expected_behavior,candidate_granularity,candidate_ids,candidate_count,known_traits,missing_traits,expected_response,Verified
1,Row 1 gear stand,gear_stand,ambiguous_singular,clarify,physical_instance,STAND_ROW1_LEFT|STAND_ROW1_RIGHT,2,row,side,Do you mean the left or right gear stand?,o
2,white gear stand,gear_stand,ambiguous_singular,clarify,physical_instance,STAND_ROW1_LEFT|STAND_ROW1_RIGHT,2,color,side,Do you mean the left or right white gear stand?,o
3,circle-row bracket,gear_stand,ambiguous_singular,clarify,physical_instance,STAND_ROW1_LEFT|STAND_ROW1_RIGHT,2,row_marker,side,Do you mean the left or right bracket?,o
4,Row 2 gear stand,gear_stand,ambiguous_singular,clarify,physical_instance,STAND_ROW2_LEFT|STAND_ROW2_RIGHT,2,row,side,Do you mean the left or right gear stand?,o
5,red gear stand,gear_stand,ambiguous_singular,clarify,physical_instance,STAND_ROW2_LEFT|STAND_ROW2_RIGHT,2,color,side,Do you mean the left or right red gear stand?,o
6,triangle-row bracket,gear_stand,ambiguous_singular,clarify,physical_instance,STAND_ROW2_LEFT|STAND_ROW2_RIGHT,2,row_marker,side,Do you mean the left or right bracket?,o
7,Row 3 gear stand,gear_stand,ambiguous_singular,clarify,physical_instance,STAND_ROW3_LEFT|STAND_ROW3_RIGHT,2,row,side,Do you mean the left or right gear stand?,o
8,green gear stand,gear_stand,ambiguous_singular,clarify,physical_instance,STAND_ROW3_LEFT|STAND_ROW3_RIGHT,2,color,side,Do you mean the left or right green gear stand?,o
9,hexagon-row bracket,gear_stand,ambiguous_singular,clarify,physical_instance,STAND_ROW3_LEFT|STAND_ROW3_RIGHT,2,row_marker,side,Do you mean the left or right bracket?,o
10,Row 4 gear stand,gear_stand,ambiguous_singular,clarify,physical_instance,STAND_ROW4_LEFT|STAND_ROW4_RIGHT,2,row,side,Do you mean the left or right gear stand?,o
11,blue gear stand,gear_stand,ambiguous_singular,clarify,physical_instance,STAND_ROW4_LEFT|STAND_ROW4_RIGHT,2,color,side,Do you mean the left or right blue gear stand?,o
